comment    like                        nick     postTime  reply  unlike                                user_url
其实不想说的，但是这部里的剧情是间谍 这让我想起了钓鱼岛。而且哪个间谍还是亚洲人，难道不是很...     1.0                        苍穹の怒  2013年10月13日    (3)     NaN      http://i.youku.com/i/UMzI5NTYyMTg4
撕得有什么意思哦，自己喜欢就默默地喜欢嘛，干嘛非得吼出来？这让我想起钱钟书的一句话：你吃到了...     8.0             盯着作业唱征服70529324  2017年08月08日    NaN     NaN  http://i.youku.com/i/UMzAwNzk3MzAzMg==
《名侦探柯南 剧场版》我只有这个和《贝克街的亡灵》最喜欢，很精彩。而且这里的空姐，哦不，应该...     7.0              微信用户8305664160  2017年08月24日    NaN     NaN  http://i.youku.com/i/UNDQwOTk4MjA3Mg==
qwertyuiopsadfghjkl自行车 v 被你们，。'期望而已腿哦爬山大风过后就看了...     1.0           ios游客用户5382768842  2018年02月18日    NaN     5.0  http://i.youku.com/i/UNDQ4ODQyOTIzNg==
   199几年的柯南，2018年还在演，20多年过去了……我东方晨从9岁开始看，到现在15岁了。     2.0              微信用户8804489353  2018年01月12日    NaN     1.0  http://i.youku.com/i/UNDcxMjEyOTUxMg==
感觉看名柯的小学生越来越多，天天新兰党柯哀党撕逼，一言不合就骂人。 希望能有点儿素质，不要给...    11.0                      阿树的小虎牙  2017年01月18日    (1)     NaN  http://i.youku.com/i/UMzcyMTc0NTk4OA==
虽然是动画片，但是日本的救援工作就是很到位，不像天朝救个人还要考虑成本，根本就是不知道人命大如天！     2.0                        楽の飞舞  2013年11月16日    (4)     3.0      http://i.youku.com/i/UMzU4NTM3MDEy
一天，我终于得到了阿拉丁神灯，灯神说:我可以实现你三个愿望。我说:1我要柯南结局 2我要柯兰...     8.0         腾讯用户146988291559243  2017年05月14日    NaN     2.0  http://i.youku.com/i/UMzg0OTM5ODMwMA==
                           中国长剑10巡航导弹 瞬秒你小日本的宙斯盾舰     4.0                         雾里魔  2013年10月16日    (7)     NaN      http://i.youku.com/i/UMzYyOTc2NDQ0
        换手机了 以后没账号记录了 不能再拿小小小姚猪看柯南啦， 秀婷再见啦 你会好好的。     NaN                       小小小姚猪  2018年01月29日    NaN     1.0  http://i.youku.com/i/UMTg2MzIzMzc2MA==
兰掉进海里后，就没人发现小五郎一点反应都没有，连动都没动，船上那些人就没人感觉奇怪？在寻找兰...     2.0                        万殇醉月  2013年10月21日    (2)     NaN      http://i.youku.com/i/UMzc5Nzc3MjQ4
               哇，爱情的力量好强大柯南大声叫了一声兰让小兰听到了就醒了青山大导演牛     7.0        腾讯用户1470214382847878  2016年11月09日    NaN     NaN  http://i.youku.com/i/UMzg2MDkzNzA3Ng==
别现了，没有回波雷达靠什么定位？谁告诉你电波表接收时间信号会发回波的？它又不是手机。//@点...     NaN                      dy1901  2013年10月15日    (4)     NaN      http://i.youku.com/i/UMzc4NTU2NDMy
一天，我终于得到了阿拉丁神灯，灯神说:我可以实现你三个愿望。我说:1我要柯南结局 2我要柯兰...     4.0        优酷用户1472254080875401  2017年05月13日    NaN     3.0  http://i.youku.com/i/UMzk0MjAzMTU1Ng==
真是佩服青山老师的画功，竟然能与真实的画得那么想，里面的设备外面的装备超像。不愧是实力派。这...     2.0                    花开花谢漫漫岁月  2013年10月19日    (2)     NaN      http://i.youku.com/i/UNTIwMjc4NjMy
中日海上关系紧张，这节骨眼拍这个，寓意颇深，美日的电影动漫侵蚀着爱看这些的中国人，看归看，民...     2.0                        紫云小侠  2013年10月16日    (2)     NaN      http://i.youku.com/i/UNTgzNzU4OTM2
中国动漫与日本动漫的差距 一、中国动漫没有创新 二、中国动漫针对的年龄层次只局限于少年儿童 ...     2.0                     饿了就好好奋斗  2013年10月14日    (2)     NaN      http://i.youku.com/i/UNTc1Nzc2NjQ0
说实话，什么新兰、柯哀我都不感兴趣，我是来看推理的，青山也是画得侦探漫画，不懂你们为什么老撕cp。     4.0                        月银蔷薇  2017年03月11日    NaN     NaN  http://i.youku.com/i/UMzE3OTc5NTUxMg==
    不喜欢小兰，话说她头上长角啊，刘海太奇怪了。我还是喜欢小哀，有智慧，总是能帮上柯南一些忙。     1.0              Ailier55210475  2015年06月16日    (2)     5.0  http://i.youku.com/i/UMzA2OTE2MDc2NA==
                 我晕，我追了柯南这么久，霓虹国某些不良右翼分子也要来参与柯南么！     2.0                    睡梦的捷克弗里德  2017年08月19日    NaN     2.0  http://i.youku.com/i/UMzY2MTgzMzI0MA==
最好看的就是纯黑的噩梦了，赤井秀一和宝室大显身手太精彩了还有沉默的十五分钟，柯南滑雪的时候再...     3.0                       恐怖-暗影  2017年01月22日    NaN     1.0  http://i.youku.com/i/UMjg5NzY5OTY4NA==
         柯哀永恒，新兰永恒，彦美永恒，粉色配浪漫情怀！希望你们有粉色的东西，永远在一起！     3.0              优酷用户8657268208  2017年04月21日    (1)     5.0  http://i.youku.com/i/UNDQ3NDQ5Mjg4OA==
我想变成新一，然后说：‘如果我的推理没有错的话，黑衣组织首领就是你－毛利小五郎。这个人肯定注...     2.0                      怪盗基德五代  2017年04月18日    (1)     NaN  http://i.youku.com/i/UNDUxOTg2MTA3Mg==
基德和青子每天都能在一起，可是新一却只能以柯南的身份保护着小兰，却不能说出自己真实身份。小兰...     4.0                     磨人的小妖精她  2016年08月09日    NaN     NaN  http://i.youku.com/i/UMTkzNTAzMDgyOA==
好多好多槽点丫！！不作死就不会死啊！！X被足球打飞五米高啊！！那个射球反弹了那么多次还能打弯...     1.0                     盛夏残暑浮生梦  2013年10月22日    (2)     1.0      http://i.youku.com/i/UNjA4OTM4MDY0
