comment    like                          nick     postTime  reply  unlike                                user_url
        这是中国的漫画改编的。很早就出过动态漫画了，是中国做的，做得很用心的，也很好看哟。    11.0                淘宝用户9030240274  2017年07月08日    NaN     3.0  http://i.youku.com/i/UNDc1MjY0Mjc2NA==
前几天看见有人cos日本二战军人在上海抗战遗址拍照，今天又看见优酷有人发明爱国狗，还有一百多...     2.0          腾讯用户1502626210895216  2017年08月13日    NaN     9.0  http://i.youku.com/i/UNDg5OTc0OTc3Mg==
无疑这个团队是聪明的 他们能在提高制作水平的同时开拓市场 并且营造了话题 这是三赢啊 不得不...     2.0          微信用户1501468037439655  2017年08月07日    NaN     NaN  http://i.youku.com/i/UNDg2MDk2NjI0MA==
剧情更加丰满了哎，画质也变得好了，不过，为什么感觉维克多没有简笔画的时候帅气了哎，而且更好色...     9.0                  情非得已97559149  2017年07月08日    NaN     NaN  http://i.youku.com/i/UMTQzODAyNzA0OA==
在弹幕上看到有人问那剑上明明写的是减速为什么那么快 其实那把剑只有剑柄和剑鞘，我们所看到的刃...     2.0                土豆用户_405485013  2017年07月27日    NaN     NaN  http://i.youku.com/i/UMTYyMTk0MDA1Mg==
                           我是刚看上的，刚刚从鲁路修的死亡中悲伤的出来     9.0          微信用户1502409395488931  2017年08月11日    (2)     NaN  http://i.youku.com/i/UNDg5MTQyNTkzNg==
咱们国家有很好漫画什么的但是做不出来啊如果一半中文一半日语的你不觉得怪吗 只是让人家制作了煞...     1.0                土豆用户_394904071  2017年08月05日    NaN     8.0  http://i.youku.com/i/UMTU3OTYxNjI4NA==
支持~~~~~~~~~~CV福山润也很喜欢~~~~~~~~~~就是让我想起了驱魔少年，嘤嘤嘤...     1.0                           元某白  2017年07月09日    NaN     NaN      http://i.youku.com/i/UMjI4MDgzMjE2
        这个原来是国漫的有声漫画现在改成日语啦。果然比之前有气氛中国动漫配音太差分分钟出戏     1.0            腾讯用户12345666297003  2017年07月09日    NaN     NaN  http://i.youku.com/i/UMzA1MjE5MDYwNA==
原作是国漫！！！！！ 作者是中国人！！！！ 在翻漫画，漫画行连载，是我国少有的优质黑白漫画连...     NaN                         华华DED  2017年07月08日    NaN     NaN  http://i.youku.com/i/UMTM4OTAxNjkyNA==
不太懂为什么一集拆分为2话 然后每周更2话的意义何在 就我而言有点影响观感…… 动画水平一般...     NaN          梧桐落雨1483461738521271  2017年07月08日    NaN     NaN  http://i.youku.com/i/UNDMzMTQ4ODk0MA==
