comment   like                     nick     postTime reply  unlike                                user_url
                          养肥了一起看！好期待！终于等到了纳米第三季啦！    1.0    芋头的乔希1478223121615134  2017年08月04日   NaN     NaN  http://i.youku.com/i/UNDExNTIwMzg4MA==
                         里面的打斗场面非常的精彩特别是一些武器非常的先进    NaN                    醉灬红顏丶  2017年08月04日   NaN     NaN  http://i.youku.com/i/UMTIwNDQ2MDI3Mg==
                             那个酷酷的女孩子的眼睛怎么啦，竟然会发光    1.0                    有点瘦的人  2017年08月04日   NaN     NaN  http://i.youku.com/i/UMTI5MzExNzAxMg==
                            机器人竟然也这么厉害，有看头，我想看机器人    NaN                    电话一停机  2017年08月04日   NaN     NaN  http://i.youku.com/i/UMTI5MzQ4NTQyOA==
                     有很强的日本漫画风格，但是是中国硬派漫画系列小说改编的。    1.0                     貌似很猫  2017年08月04日   NaN     NaN      http://i.youku.com/i/UNjI0NjMyNTYw
                       为什么要用英文歌啊？不好听也听不懂，没前两季的好听。    3.0                     索洛君Y  2017年08月09日   NaN     NaN  http://i.youku.com/i/UNDg4NTUzMDIwOA==
                             感觉人物设定没啥变化就是没以前那么好看了    2.0                    水饺的桃酥  2017年08月04日   NaN     NaN  http://i.youku.com/i/UNDExMzgzNjM0OA==
                           什么垃圾第3部前两部做的多好这部做的什么鬼！    NaN                 BIU黄磊250  2018年02月02日   NaN     NaN  http://i.youku.com/i/UMzI3NjU5OTIwMA==
          第一次看，不过明明是国产却唱英文曲，嗯呵呵，在这里给个差评，其他的等看过了再说    NaN                      修莱桠  2017年11月15日   NaN     NaN  http://i.youku.com/i/UMTczMTk0MzI0MA==
          哈哈哈，海岸线你终于回来了，从第一部一直支持到现在，中国为数不多的好动漫，加油    1.0                    爱国救助者  2017年08月06日   NaN     NaN  http://i.youku.com/i/UMTQ4MzQzODc2OA==
                          喜欢看科技，炫酷的朋友，纳米核心是你不错的选择    1.0                  杜威的佩内洛普  2017年08月04日   NaN     NaN  http://i.youku.com/i/UNDExMzkwNTQwMA==
                             这部漫画脑洞大开，好想去元星上体验一番。    1.0                   赖特的杰克逊  2017年08月04日   NaN     2.0  http://i.youku.com/i/UNDExNTQ4NjY0MA==
                              不知道等了好久了，从第一部开始就很喜欢    7.0     腾讯用户1500745162409332  2017年08月19日   NaN     NaN  http://i.youku.com/i/UNDgzNzA5MDUwNA==
                这个片头曲真难听。。。就不能唱点汉语的吗//服了，真难听难听。。。    8.0                  好郝人一生平安  2017年08月06日   (1)     3.0      http://i.youku.com/i/UNDI4NjM4MTky
                              内容很棒我很喜欢剧中人和情节很到位啊？    3.0                    金吒的湘妃  2017年08月04日   NaN     NaN  http://i.youku.com/i/UNDExNTA0NDc0OA==
                                圣柜是不是被IMC的马德将军偷走的    NaN                     TG星辰  2017年08月13日   (2)     NaN  http://i.youku.com/i/UMzM5MTY5MjY2NA==
                                             峰峰在吗    2.0     腾讯用户1506006824620230  2017年09月21日   (2)     NaN  http://i.youku.com/i/UNTAxNTczNzc3Mg==
                           这动漫 可以 就是 宣传太少了 知道的人不多    5.0           土豆用户_727313178  2017年08月11日   NaN     NaN  http://i.youku.com/i/UMjkwOTI1MjcxMg==
                                总感觉变得陌生了，不知道是不是错觉    5.0                  天照-耶梦加得  2017年08月04日   (1)     NaN  http://i.youku.com/i/UNDU3MzUzNzA4NA==
                                      楠娜这是要和糖心抢瑞啊    9.0                魔94825627  2017年08月02日   NaN     NaN  http://i.youku.com/i/UMzQxNzE3MTQyOA==
                  不看了太失望了和第一季比差多了？！你们没心思做我们也没心思看了    1.0     微信用户1513480653807728  2017年12月17日   NaN     NaN  http://i.youku.com/i/UNTQzODgzNTc1Mg==
                          等了1年！！！终于出了！！！纳米永不散场！！！    7.0           优酷用户6699709059  2017年08月08日   NaN     1.0  http://i.youku.com/i/UNDM0NDg0OTYzNg==
                   还是第一，二季男主可爱，第三季男主长大了。就长的不怎么样了。    NaN  yunos用户1512445561215903  2017年12月06日   NaN     NaN  http://i.youku.com/i/UNTM5Nzg0MzY0MA==
                            为什么，第三季瑞被改了？而且还被改难看了！    1.0           优酷用户7998800112  2017年11月24日   NaN     NaN  http://i.youku.com/i/UNDYxMTE1NjM4NA==
                   什么节奏，中间那么精彩的一段，就漫画插图过去啦。！！！！！！    NaN                  天天翼翼神仙魔  2017年10月11日   NaN     NaN  http://i.youku.com/i/UNDgzMDcwMzQ2MA==
                              看完，在去玩 聚爆 有种莫名的杀戮😅    4.0                   燃烧吧少年V  2017年08月19日   NaN     NaN  http://i.youku.com/i/UMzE5MzM5Nzg3Ng==
                              你终于出来了希望你的剧情能够不让我失望    NaN                     路人阿波  2017年08月04日   NaN     NaN  http://i.youku.com/i/UMTIwMDM5MTcyNA==
                            不喜欢看动画片的我，竟然把这个看了两遍了。    1.0                 比农夫三拳多一拳  2017年08月04日   NaN     NaN  http://i.youku.com/i/UMTMyNjY2Mzc3Mg==
                                 看这个情节，瑞是要跟小楠在一起了    4.0          妖精有没有尾巴47085729  2017年08月02日   NaN     NaN  http://i.youku.com/i/UMzExMTk4NDUyOA==
                                   好好的国产 。 弄首外国歌。   10.0              Ing28116153  2017年08月22日   (1)     NaN  http://i.youku.com/i/UMTM5OTkzNzk4NA==
