comment    like                                  nick     postTime reply  unlike                                user_url
                      刚把第一季小英雄看完第二季就来了，太幸运了，看的好燃啊     6.0                           动漫迷32634877  2017年03月26日   (1)     NaN  http://i.youku.com/i/UMzAzNzYzOTcyMA==
                     怎么这么多人刷一拳超人阿，有病阿，无脑一拳，刷一拳死个妈     NaN                                   X坤哥  2018年01月13日   NaN     1.0  http://i.youku.com/i/UMzI0NDk4MDU1Mg==
                  这一集就是第一季回顾啊 虽然又看了一遍不过 还是 热血！！！！     6.0                                  ＂へぺ＂  2017年03月27日   NaN     1.0      http://i.youku.com/i/UMzY1NTkzMzY=
                                           星期几更新?     6.0                                 少天最可爱  2017年07月22日   (2)     NaN  http://i.youku.com/i/UMzczMTkyMTkzNg==
                      还以为放完了原来是出第二季了还以为出问题了呢进来是7集     5.0                              雷霆谁与争锋解说  2017年05月13日   NaN     NaN  http://i.youku.com/i/UNDE0ODI4NTE4OA==
                                         配音都是非主流子     6.0                               诚如神之所说丶  2017年06月03日   (2)    12.0  http://i.youku.com/i/UMTQzNzg3MDk5Mg==
                    B站来的，要不是B站没有才不会来这看……光广告就一分钟……     2.0                                羊扒吸多了氧  2018年01月02日   NaN     NaN  http://i.youku.com/i/UMzc3NjUwMzk0MA==
                       这么久了我才知道出了第二季。。。明明那么好看，热度呢     3.0                                  小擦炮儿  2017年06月10日   NaN     NaN      http://i.youku.com/i/UMTYzMzMxNDg0
                 好失望，回顾的话我自己都能去看第一季了。为什么要开个第二季来回顾     NaN                           llii020iill  2017年03月26日   NaN     1.0  http://i.youku.com/i/UMzM2NDgyOTY4NA==
                               在b站看惯了，现在突然有广告好不习惯    15.0                        土豆用户_421399617  2017年06月29日   NaN     2.0  http://i.youku.com/i/UMTY4NTU5ODQ2OA==
                                  上条把妹手来了就是最吊的，呵呵     2.0                            qiasoaidsa  2017年07月02日   (2)     3.0  http://i.youku.com/i/UMTQ0NTMzNDU0MA==
                               英雄瘦下来有点像真爱无敌那个洗剪吹啊     1.0                        微信用户5917762020  2017年09月07日   NaN     NaN  http://i.youku.com/i/UNDUwMzQyNTIyMA==
                                一拳的确很好看但是这部动漫也不很挫     8.0                  腾讯用户1468467266520901  2017年08月01日   NaN     1.0  http://i.youku.com/i/UMzc5NzEwNzM2MA==
                                         13.5什么东西     3.0                            钊哥65913692  2017年07月07日   (2)     NaN  http://i.youku.com/i/UMjkwMjM0OTU1Ng==
                                    看到我请催我去和轰焦冻结婚    12.0                  腾讯用户1500942656381157  2017年07月25日   (1)     NaN  http://i.youku.com/i/UNDg0NDE0MDQwOA==
                               明明台词很中二，居然还是把眼眶看湿了     7.0                        手机用户_736206896  2017年05月16日   NaN     NaN  http://i.youku.com/i/UMjk0NDgyNzU4NA==
                                  肯德基那握的大饭团超难吃。。。    11.0                                 鄙视墨迹的  2017年07月25日   NaN     NaN      http://i.youku.com/i/UMzk3NjcxODA=
               两个同期出的漫画 没有谁抄谁//@黄生Jaxn:抄一拳，都看不下去了    12.0                               挂念EA46B  2017年05月24日   NaN     NaN  http://i.youku.com/i/UMTM0MjE0NzQ5Ng==
                                    至2017年最燃的番！！！     2.0                                  鉌铋裝神  2017年03月25日   (2)     NaN      http://i.youku.com/i/UMTg1ODIxMDQ=
                                     小胜他太好了我爱他！！！    20.0                               咔酱世界第一好  2017年06月19日   (1)     5.0  http://i.youku.com/i/UNDU2MDcwODM0MA==
                                        6点啦，怎么还不更    17.0                                特别迷的鱼干  2017年08月26日   NaN     NaN  http://i.youku.com/i/UMTgyNTA5ODU0NA==
                               哎哟。一下子出了个第二季啊。这么良心    11.0                               zyy730s  2017年05月14日   (1)     NaN      http://i.youku.com/i/UNTI2OTI0OA==
                         好看，，，完全是剧情的吸引。。给9.5不逊色火影     4.0                         支付宝用户61594684  2017年08月08日   (1)     NaN  http://i.youku.com/i/UMzQzODg1NjEwNA==
                                     看到我请催我去娶爆豪胜也    10.0                       优酷手机用户_kd37ju19  2017年07月25日   NaN     NaN  http://i.youku.com/i/UMzE2OTE2NzE0MA==
                                   等好久了都！鸡冻仁心..飙泪    10.0                           泳5136424687  2017年03月25日   NaN     NaN  http://i.youku.com/i/UNDQ5OTE1ODI3Mg==
                                           一点也不好看     2.0                        微信用户8872135225  2017年06月06日   (2)    36.0  http://i.youku.com/i/UNDUwMjU5NDYxMg==
                         看了第一季之后我就像把这番追完！第二季也十分好看     NaN                                   香悦草  2017年11月14日   NaN     NaN  http://i.youku.com/i/UNDA2NTIwNTIzMg==
                                           咔酱最棒了!    14.0                                  茕茕岚曦  2017年07月17日   (1)     4.0  http://i.youku.com/i/UMjkwMzI1NDI4MA==
                            第二季就这么结束了吗？什么时候出第三季啊？     NaN                  腾讯用户1504317977640572  2017年10月01日   NaN     NaN  http://i.youku.com/i/UNDk2MzMwNjM4MA==
                              爆豪胜己：艺术就是爆炸！！！！！！！！    10.0                        腾讯用户5113779564  2017年04月30日   (1)     3.0  http://i.youku.com/i/UNDM4MTU1MTI4OA==
                                    看到轰总的麻烦叫他回来娶我    10.0                                 深海蓝瞳色  2017年07月26日   NaN     1.0  http://i.youku.com/i/UMzAzNTg5ODgyOA==
                                 要是猪脚在用能力时不在馋废就好了     3.0                        微信用户6218693637  2017年05月05日   NaN     NaN  http://i.youku.com/i/UNDYwMDA1MDkxNg==
                                   和火影一模一样的套路，我的妈     NaN                  微信用户1503839102920280  2017年08月28日   (2)    30.0  http://i.youku.com/i/UNDk0NTMyNDQyOA==
                               哈哈，终于出了，有谁和我一样等了1年     7.0                             大妮这两天爱得飞机  2017年03月25日   (1)     1.0  http://i.youku.com/i/UMTIwODI5MTcwOA==
                                更新的齿轮终于开始动了，等了很久了     4.0                              丶丶丶clown  2017年04月03日   NaN     NaN  http://i.youku.com/i/UNDE0MTY2MjM3Mg==
           等了好久 终于等到你 还好我没放弃 希望后面可以出第二季 真心好看~！！！！     1.0                 支付宝用户1476520717251431  2017年04月03日   NaN     NaN  http://i.youku.com/i/UNDA1NzYyODI2MA==
